,district,metro,area,rooms,floor,gk,price,adress
187,1.22,1.0,165.0,4.0,3.0,0.0,35750.0,"Героев Сталинграда просп., 24а, Оболонский р-н"
190,1.19,1.0,56.0,2.0,12.0,1.0,19000.0,"Богдановская ул., 7Д, Соломенский р-н"
191,2.87,1.0,94.0,3.0,27.0,1.0,68750.0,"Драгомирова ул., 17, Печерский р-н"
192,2.87,1.0,135.0,3.0,18.0,0.0,60500.0,"Деловая, 2б, Печерский р-н"
193,1.18,1.0,40.0,1.0,8.0,0.0,9400.0,"Доброхотова академика ул., 15, Святошинский р-н"
194,1.53,1.0,39.0,1.0,8.0,1.0,14000.0,"Максимовича ул. (Трутенко Онуфрия), 28Б, Голосеевский р-н"
195,1.12,1.0,95.0,2.0,18.0,0.0,27225.0,"Срибнокильская ул., 3а, Дарницкий р-н"
196,1.19,2.0,58.0,3.0,9.0,0.0,12000.0,"Краковская ул., 18, Днепровский р-н"
197,1.12,1.0,90.0,2.0,23.0,0.0,49500.0,"Днепровская наб., 14а, Дарницкий р-н"
198,2.87,1.0,71.0,2.0,9.0,0.0,30250.0,"Леси Украинки бульв., 7а, Печерский р-н"
199,1.19,3.0,45.0,2.0,5.0,0.0,8000.0,"Комарова космонавта просп., 12, Соломенский р-н"
200,1.22,1.0,45.0,1.0,10.0,0.0,9500.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
201,1.19,3.0,118.0,3.0,18.0,0.0,41250.0,"Тычины Павла просп., 2, Днепровский р-н"
202,1.18,3.0,27.0,1.0,5.0,0.0,7000.0,"Симиренко ул., 24а, Святошинский р-н"
203,1.18,3.0,32.0,1.0,13.0,0.0,7500.0,"Симиренко ул., 26, Святошинский р-н"
204,1.74,1.0,50.0,1.0,12.0,0.0,12000.0,"Победы пл., 71, Шевченковский р-н"
205,1.18,1.0,56.0,1.0,23.0,0.0,13000.0,"Осенняя ул., 33, Святошинский р-н"
206,1.18,3.0,61.0,2.0,4.0,0.0,12500.0,"Кольцова бульв., 14, Святошинский р-н"
207,1.18,3.0,66.0,2.0,10.0,0.0,14000.0,"Кольцова бульв., 8, Святошинский р-н"
208,1.18,3.0,32.0,1.0,1.0,0.0,7500.0,"Кольцова бульв., 5б, Святошинский р-н"
209,1.18,3.0,38.0,1.0,7.0,1.0,20000.0,"Победы просп., 67а, Святошинский р-н"
210,1.53,1.0,55.0,2.0,3.0,0.0,19500.0,"Казимира Малевича ул. (Боженко), 48, Голосеевский р-н"
211,1.74,1.0,62.0,2.0,14.0,0.0,16000.0,"Дегтяревская ул., 25А к.1, Шевченковский р-н"
212,1.19,3.0,120.0,3.0,2.0,0.0,25000.0,"Игоря Шамо бульв. (Давыдова Алексея), 12, Днепровский р-н"
213,1.18,3.0,65.0,2.0,3.0,0.0,13000.0,"Победы просп., 67е, Святошинский р-н"
214,1.74,1.0,180.0,4.0,7.0,0.0,96250.0,"Бульварно-Кудрявская ул. (Воровского), 36, Шевченковский р-н"
215,1.19,1.0,50.0,1.0,6.0,0.0,9999.0,"Туманяна Ованеса ул., 15а, Днепровский р-н"
216,1.53,1.0,74.0,3.0,3.0,0.0,15900.0,"Лобановского просп. (Краснозвездный), 150, Голосеевский р-н"
217,1.74,1.0,32.0,1.0,4.0,0.0,9900.0,"Победы просп., 70, Шевченковский р-н"
