district,metro,area,rooms,floor,gk,price,adress
1.19,3.0,56.0,2,12.0,1,19000.0,"Богдановская ул., 7Д, Соломенский р-н"
1.53,1.0,41.0,1,7.0,0,13500.0,"Феодосийская ул., 2Л, Голосеевский р-н"
1.53,3.0,60.0,2,14.0,1,41250.0,"Голосеевский просп. (40-летия Октября), 58а, Голосеевский р-н"
1.22,3.0,30.0,1,1.0,0,8000.0,"Героев Днепра ул., 15, Оболонский р-н"
1.12,1.0,45.0,1,17.0,1,11500.0,"Драгоманова ул., 10, Дарницкий р-н"
1.74,3.0,45.0,2,2.0,0,10000.0,"Фузиков пер. (Баумана), 6, Шевченковский р-н"
1.19,3.0,50.0,2,20.0,0,16500.0,"Евгения Сверстюка ул. (Расковой Марины), 6в, Днепровский р-н"
1.29,1.0,50.0,2,3.0,0,15000.0,"Александра Олеся, 4а, Подольский р-н"
1.74,3.0,35.0,1,11.0,0,16000.0,"Рыбалко маршала ул., 5б, Шевченковский р-н"
1.29,1.0,50.0,1,4.0,1,13750.0,"Олеся Александра, 6а, Подольский р-н"
1.29,1.0,47.0,1,2.0,1,27500.0,"Набережно-Рыбальская дорога ул., 3, Подольский р-н"
2.87,3.0,60.0,2,2.0,0,38500.0,"Институтская ул., 22/7, Печерский р-н"
1.0,1.0,73.0,3,11.0,0,10000.0,"Высоцкого Владимира бульв., 11, Деснянский р-н"
1.74,3.0,51.0,2,8.0,0,16000.0,"Дегтяревская ул., 10, Шевченковский р-н"
1.19,3.0,120.0,3,2.0,0,22000.0,"Игоря Шамо бульв. (Давыдова Алексея), 12, Днепровский р-н"
1.19,3.0,41.0,2,8.0,0,13000.0,"Всеволода Нестайко ул. (Мильчакова Александра), 5, Днепровский р-н"
1.19,3.0,44.0,2,2.0,0,12500.0,"Политехническая ул., 5а, Соломенский р-н"
1.53,3.0,68.0,2,12.0,0,48125.0,"Голосеевский просп. (40-летия Октября), 29, Голосеевский р-н"
1.19,1.0,65.0,2,19.0,1,14500.0,"Воскресенская ул., 12Б, Днепровский р-н"
1.53,1.0,75.0,2,4.0,1,16500.0,"Заболотного академика ул., 15л, Голосеевский р-н"
1.12,3.0,91.0,3,2.0,1,20000.0,"Малоземельная ул., 75Г, Дарницкий р-н"
1.74,3.0,55.0,1,3.0,0,13000.0,"Глубочицкая ул., 73, Шевченковский р-н"
1.53,3.0,41.0,1,12.0,0,17500.0,"Максимовича ул. (Трутенко Онуфрия), 3, Голосеевский р-н"
1.12,3.0,35.0,1,5.0,1,16000.0,"Заречная ул., 16/5, Дарницкий р-н"
1.12,3.0,55.0,2,6.0,1,27000.0,"Днепровская наб., 14б, Дарницкий р-н"
1.74,3.0,75.0,2,9.0,1,16000.0,"Сикорского Игоря ул. (Танковая), 1, Шевченковский р-н"
1.74,3.0,47.0,2,5.0,0,10500.0,"Туполева академика ул., 26/16, Шевченковский р-н"
1.53,1.0,75.0,2,7.0,1,17000.0,"Глушкова академика просп., 9е, Голосеевский р-н"
1.53,2.0,37.0,1,4.0,0,10000.0,"Глушкова академика просп., 18, Голосеевский р-н"
1.74,3.0,130.0,3,3.0,0,28000.0,"Гончара Олеся ул., 62, Шевченковский р-н"
1.12,3.0,62.0,2,21.0,1,23000.0,"Заречная ул., 1, Дарницкий р-н"
1.19,1.0,74.0,2,9.0,0,15000.0,"Владимира Брожко ул. (Кировоградская), 70, Соломенский р-н"
1.53,3.0,42.0,1,20.0,0,15000.0,"Ломоносова ул., 36в, Голосеевский р-н"
1.18,3.0,110.0,3,18.0,0,20900.0,"Львовская ул., 26А, Святошинский р-н"
2.87,3.0,46.0,1,9.0,0,19000.0,"Василия Тютюнника ул. (Барбюса Анри), 1а, Печерский р-н"
1.12,2.0,83.0,2,25.0,0,16500.0,"Драгоманова ул., 40 3, Дарницкий р-н"
1.12,1.0,90.0,3,20.0,0,18000.0,"Урловская ул., 20, Дарницкий р-н"
1.74,3.0,99.5,3,11.0,1,20000.0,"Дегтяревская ул., 25А, Шевченковский р-н"
1.19,1.0,42.0,1,24.0,1,11000.0,"Отрадный просп. (Чубаря), 2, Соломенский р-н"
1.74,3.0,78.0,2,18.0,0,17000.0,"Дегтяревская ул., 25а, Шевченковский р-н"
1.12,3.0,35.0,1,7.0,0,9500.0,"Харьковское шоссе, 188, Дарницкий р-н"
1.19,2.0,55.0,2,2.0,0,12000.0,"Гарматная ул., 29, Соломенский р-н"
1.18,3.0,116.0,3,6.0,0,18000.0,"Ирпенская ул., 69а, Святошинский р-н"
2.87,3.0,62.0,2,5.0,0,24000.0,"Банковая ул., 1/10, Печерский р-н"
2.87,3.0,37.0,1,1.0,0,10500.0,"Левандовская ул. (Анищенко), 14, Печерский р-н"
1.19,1.0,70.0,2,2.0,1,17875.0,"Антонова авиаконструктора ул., 2б, Соломенский р-н"
1.53,3.0,65.0,2,10.0,1,48125.0,"Демиевская ул., 33, Голосеевский р-н"
1.53,3.0,165.0,4,13.0,0,220000.0,"Демиевская ул., 33, Голосеевский р-н"
1.53,3.0,120.0,3,12.0,0,110000.0,"Демиевская ул., 33, Голосеевский р-н"
1.22,1.0,30.0,1,17.0,1,10500.0,"Петра Калнышевского ул. (Майорова Михаила), 6, Оболонский р-н"
2.87,3.0,122.0,3,21.0,0,41250.0,"Евгения Коновальца ул. (Щорса), 36б, Печерский р-н"
1.0,1.0,43.0,1,4.0,0,7200.0,"Закревского Николая ул., 95, Деснянский р-н"
1.19,1.0,120.0,3,2.0,0,22000.0,"Игоря Шамо бульв. (Давыдова Алексея), 12, Днепровский р-н"
1.0,1.0,43.0,1,6.0,0,7500.0,"Закревского Николая ул., 17, Деснянский р-н"
1.19,1.0,51.0,1,20.0,1,18000.0,"Нижнеключевая ул., 14, Соломенский р-н"
1.74,3.0,150.0,3,7.0,0,50875.0,"Тургеневская ул., 46/11, Шевченковский р-н"
2.87,3.0,90.0,3,10.0,0,17000.0,"Леси Украинки бульв., 9в, Печерский р-н"
1.53,2.0,56.0,1,15.0,1,29500.0,"Антоновича ул. (Горького), 109, Голосеевский р-н"
1.19,1.0,42.0,1,18.0,0,13000.0,"Просвещения ул., 16, Соломенский р-н"
2.87,3.0,82.0,3,1.0,0,24000.0,"Институтская ул., Печерский р-н"
1.29,3.0,27.0,1,2.0,0,6000.0,"Электриков пер., 9, Подольский р-н"
1.74,3.0,75.0,3,5.0,0,15000.0,"Богдана Гаврилишина ул. (Василевской Ванды), 14, Шевченковский р-н"
1.22,3.0,77.0,2,3.0,0,19500.0,"Тимошенко маршала ул., 29, Оболонский р-н"
1.12,1.0,54.0,1,11.0,0,13000.0,"Вишняковская ул., 13А, Дарницкий р-н"
1.12,1.0,56.0,1,13.0,0,13000.0,"Вишняковская ул., 13, Дарницкий р-н"
1.12,3.0,43.0,1,11.0,0,16000.0,"Каменская ул. (Днепродзержинская), 128, Дарницкий р-н"
1.18,1.0,52.0,2,4.0,0,8000.0,"Героев Космоса ул., Святошинский р-н"
2.87,3.0,48.0,1,2.0,0,33000.0,"Городецкого архитектора ул., 15, Печерский р-н"
1.19,1.0,35.0,1,4.0,0,5500.0,"Перова бульв., 40-Б, Днепровский р-н"
2.87,3.0,92.0,3,5.0,0,34375.0,"Городецкого архитектора ул., 10/1, Печерский р-н"
1.22,3.0,45.0,1,9.0,0,10500.0,"Героев Днепра ул., 43, Оболонский р-н"
1.74,3.0,180.0,4,4.0,0,49500.0,"Саксаганского ул., 84/86, Шевченковский р-н"
