district,metro,area,rooms,floor,gk,price,adress,lat_long,repair,metro_dist
1.74,1,58.0,3,4,0,12000,"
ул. Саратовская, 49, Киев
","('50.471331', '30.4142295')",0,1
1.53,3,74.0,3,4,0,13000,"
ул. Антоновича (Горького), Киев
","('50.4193445', '30.5188928')",0,2
2.87,3,160.0,3,14,0,68600,"
Кловский спуск, 7а, Киев
","('50.4405345', '30.5389159')",1,1
1.74,1,110.0,3,12,0,30200,"
ул. Дмитриевская, 69, Киев
","('50.4548104', '30.4868117')",1,2
2.87,3,185.0,4,10,1,82400,"
Леси Украинки бульв., 7б, Киев
","('50.4346578', '30.5312405')",1,1
1.19,1,118.0,3,18,0,35700,"
Тычины Павла просп., 2, Киев
","('50.427419', '30.5936568')",1,1
2.87,3,61.0,1,20,1,22000,"
Леси Украинки бульв., 7б, Киев
","('50.4346578', '30.5312405')",1,1
1.19,1,150.0,3,2,1,49400,"
ул. Протасов Яр, 8, Киев
","('50.4271147', '30.4997214')",1,2
1.74,3,140.0,3,8,1,96100,"
ул. Пирогова, 2/37б, Киев
","('50.4463215', '30.5063182')",1,2
1.19,1,30.0,1,4,0,9000,"
ул. Строителей, 3, Киев
","('50.4441961', '30.62327')",0,1
1.19,1,118.0,3,18,0,35700,"
Тычины Павла просп., 2, Киев
","('50.427419', '30.5936568')",1,1
1.74,3,130.0,3,14,0,82400,"
ул. Гоголевская, 47, Киев
","('50.4551171', '30.4939865')",1,2
2.87,3,185.0,4,10,1,82400,"
Леси Украинки бульв., 7б, Киев
","('50.4346578', '30.5312405')",1,1
1.74,3,160.0,5,2,0,79600,"
ул. Тургеневская, 52-58, Киев
","('50.4530009', '30.4909555')",1,2
2.87,3,100.0,4,3,0,46700,"
ул. Мазепы Ивана (Январского Восстания), 3а, Киев
","('50.4433011', '30.546922')",1,1
2.87,3,60.0,1,7,0,46700,"
ул. Институтская, 18, Киев
","('50.4454277', '30.5319528')",1,1
1.74,3,130.0,3,14,1,104000,"
ул. Толстого Льва, 39, Киев
","('50.4411641', '30.5014183')",1,2
2.87,3,160.0,3,14,0,68600,"
Кловский спуск, 7а, Киев
","('50.4405345', '30.5389159')",1,1
1.74,3,145.0,4,3,0,96100,"
ул. Гоголевская, 43, Киев
","('50.4547583', '30.493754')",1,2
1.12,1,73.0,3,3,0,15000,"
Григоренко Петра просп., 27, Киев
","('50.4045922', '30.6323852')",0,1
1.0,1,30.0,1,2,0,8000,"
ул. Жукова Маршала, 15, Киев
","('50.4714696', '30.641242')",0,1
1.19,1,52.0,1,20,1,18000,"
ул. Липкивского Василия (Урицкого), 37б, Киев
","('50.4303712', '30.4758501')",0,3
1.29,1,50.0,2,1,0,18000,"
ул. Кавалеридзе Ивана, Киев
","('50.4946364', '30.4277937')",0,1
1.12,3,75.0,2,5,0,22000,"
ул. Мишуги Александра, 8, Киев
","('50.3966972', '30.6368821')",0,1
1.19,1,45.0,1,4,1,11000,"
ул. Воскресенская, 16г, Киев
","('50.4697632', '30.602015')",0,1
1.74,1,72.0,2,3,0,16000,"
Шишкинский пер., Киев
","('50.4755207', '30.4814517')",1,1
1.74,3,90.0,2,10,0,23000,"
ул. Златоустовская, 47/49, Киев
","('50.4529799', '30.4862818')",0,2
1.19,1,34.0,1,2,0,8500,"
ул. Волынская, Киев
","('50.4253514', '30.4476173')",0,2
