district,metro,area,rooms,floor,gk,price,adress
1.19,1,46.0,2,2,0,10000,"
ул. Краковская, 14, Киев
"
1.29,1,48.0,1,17,0,9000,"
ул. Данченко Сергея, Киев
"
1.74,1,50.0,2,5,0,13500,"
ул. Дегтяревская, 55, Киев
"
1.12,3,44.0,1,5,0,13500,"
Бажана Николая просп., 8б, Киев
"
1.0,1,43.0,1,4,1,7000,"
ул. Закревского Николая, 97, Киев
"
1.53,3,47.0,2,4,0,8000,"
Голосеевский проспект (40-летия Октября просп.), 126а, Киев
"
2.87,3,60.0,2,4,0,26000,"
ул. Коновальца Евгения (Щорса), 5а, Киев
"
1.22,1,70.0,2,10,0,10000,"
ул. Полярная, 8д, Киев
"
1.0,1,52.0,2,3,0,8000,"
Шухевича Романа просп. (Ватутина Генерала просп.), 30а, Киев
"
2.87,1,29.0,1,1,0,7300,"
ул. Предславинская, 51, Киев
"
1.22,1,32.0,1,4,0,5000,"
ул. Вышгородская, 50, Киев
"
2.87,1,71.8,2,2,0,34000,"
ул. Ольгинская, 2, Киев
"
1.74,1,50.0,2,8,0,24000,"
Победы просп., 5в, Киев
"
1.53,1,33.0,1,13,0,10000,"
ул. Конева, 5, Киев
"
1.74,1,62.0,2,14,1,16000,"
ул. Дегтяревская, 25а, Киев
"
1.29,1,120.0,3,3,0,54300,"
ул. Спасская, 10в, Киев
"
1.53,1,39.0,1,3,0,16000,"
ул. Набережно-Корчеватская, 27, Киев
"
1.12,1,44.0,1,7,0,10000,"
ул. Вишняковская, 7б, Киев
"
1.0,1,57.0,2,2,0,9900,"
ул. Жукова Маршала, Киев
"
1.53,1,42.0,1,20,1,15000,"
ул. Ломоносова, 36а, Киев
"
1.12,1,57.0,1,8,0,15000,"
ул. Урловская, 11а, Киев
"
2.87,1,100.0,3,4,0,21700,"
Дружбы Народов бульв., 14/16, Киев
"
2.87,3,55.0,1,12,1,23100,"
Леси Украинки бульв., 7б, Киев
"
1.19,3,105.0,3,15,0,40800,"
ул. Никольско-Слободская, 6, Киев
"
